listener_artist,chart_appearances,match_type,match_score,mbid,artist_mb,matched_name,Simplified_Genres
Omarion,49,exact_text,1.0,3ca09fae-fdee-4771-bab9-244708515a98,Omarion,Omarion,"Pop, R&B"
6ix9ine,49,exact_text,1.0,2282c539-05a2-477c-82b7-fe40798d37f3,6ix9ine,6ix9ine,Hip-Hop
BigXthaPlug,49,exact_text,1.0,d25f6294-686a-4569-b1b9-fe64bfef2519,BigXthaPlug,BigXthaPlug,"Country, Hip-Hop"
Teresa Brewer,48,exact_text,1.0,9775a551-e2b9-4989-838a-ffdb2175cd62,Teresa Brewer,Teresa Brewer,"Jazz, Pop"
Lynn Anderson,48,exact_text,1.0,354812d4-2dfb-4611-9a8f-8f8e795e48bf,Lynn Anderson,Lynn Anderson,"Country, R&B"
Mickey Gilley,48,exact_text,1.0,e5e17a46-5f66-4ee7-8377-0c3ddb257eb8,Mickey Gilley,Mickey Gilley,Country
Dorothy Moore,48,exact_text,1.0,e5a30e1e-b85f-4f56-8be4-c892125fcf45,Dorothy Moore,Dorothy Moore,"Jazz, R&B"
Blues Brothers,48,exact_text,1.0,7252abc2-dfc8-4aa6-889f-2d168b265403,Blues Brothers,Blues Brothers,"Jazz, R&B, Rock"
Lil Suzy,48,exact_text,1.0,dfaa611b-a7cc-415d-9aef-4ed014468632,Lil’ Suzy,Lil’ Suzy,Pop
Dishwalla,48,exact_text,1.0,d6cd2165-7877-4ca7-ace9-34dacadaf393,Dishwalla,Dishwalla,Rock
Kelly Price,48,exact_text,1.0,76afa937-2afb-4359-923f-5faa18070e81,Kelly Price,Kelly Price,R&B
BBMak,48,exact_text,1.0,0662fa9d-73b0-4f71-9576-c963a5a14f66,BBMak,BBMak,Pop
Heather Headley,48,exact_text,1.0,a373933d-555c-446f-a7a2-b8b8a291659f,Heather Headley,Heather Headley,R&B
Blue October,48,exact_text,1.0,d6a3eeec-cde0-4c10-89b2-93e0bd5f34e6,Blue October,Blue October,"Pop, Rock"
Snow Patrol,48,exact_text,1.0,a66999a7-ae5c-460e-ba94-1a01143ae847,Snow Patrol,Snow Patrol,"Pop, Rock"
CeeLo Green,48,exact_text,1.0,2c69465c-0f76-45ce-90a2-1ed0fdacc997,CeeLo Green,CeeLo Green,"Hip-Hop, Pop, R&B"
Little Milton,47,exact_text,1.0,37846227-55fb-444b-9cd7-dc06d5d20714,Little Milton,Little Milton,"Jazz, R&B"
Adina Howard,47,exact_text,1.0,5c8d5115-163b-4725-9dd7-ab7ed7debbbd,Adina Howard,Adina Howard,"Hip-Hop, R&B"
Fatboy Slim,47,exact_text,1.0,34c63966-445c-4613-afe1-4f0e1e53ae9a,Fatboy Slim,Fatboy Slim,Electronic
Ja Rule Featuring Ashanti,47,exact_text,1.0,b504f625-4ef6-4a5a-81e8-870a61e8dc9c,Ja Rule,Ja Rule,Hip-Hop
James Blunt,47,exact_text,1.0,ebee61b4-bbdd-4087-9bcb-d5aa099088ec,James Blunt,James Blunt,"Country, Pop"
3OH!3,47,exact_text,1.0,125948ec-7f91-4d1a-8b83-accbf50fae3d,3OH!3,3OH!3,"Electronic, Hip-Hop, Pop, Rock"
Taio Cruz,47,exact_text,1.0,ba7d2626-38ce-4859-8495-bdb5732715c4,Taio Cruz,Taio Cruz,"Pop, R&B"
Steve Lacy,47,exact_text,1.0,ca9766a0-1c30-43e6-a213-bac1334efc4a,Steve Lacy,Steve Lacy,R&B
Tommy Richman,47,exact_text,1.0,741a6c80-2d6e-4522-9de4-e070798a2d30,Tommy Richman,Tommy Richman,"Hip-Hop, Pop, R&B"
Ed Ames,46,exact_text,1.0,6a55061b-9742-4059-94b1-a5ea1bd42dce,Ed Ames,Ed Ames,Pop
Art Garfunkel,46,exact_text,1.0,fc0a5289-4b77-4246-9c8d-857c8b617f5d,Art Garfunkel,Art Garfunkel,"Country, Pop, Rock"
Burton Cummings,46,exact_text,1.0,404c5c4c-7d08-44e4-9721-68a824edc144,Burton Cummings,Burton Cummings,"Pop, Rock"
Eddy Grant,46,exact_text,1.0,0cf0583a-fcfd-4f07-b573-95273ec4bdb5,Eddy Grant,Eddy Grant,"Country, Pop, Rock"
Ozzy Osbourne,46,exact_text,1.0,8aa5b65a-5b3c-4029-92bf-47a544356934,Ozzy Osbourne,Ozzy Osbourne,Rock
Regina Belle,46,exact_text,1.0,e1235abf-1fab-40a5-833a-057968d90e48,Regina Belle,Regina Belle,"Electronic, Pop, R&B"
Levert,46,exact_text,1.0,238ad296-7c8e-49e2-afb6-cd2a08553831,LeVert,LeVert,"Hip-Hop, R&B"
Kid Rock,46,exact_text,1.0,ad0ecd8b-805e-406e-82cb-5b00c3a3a29e,Kid Rock,Kid Rock,"Country, Hip-Hop, Rock"
Ruff Endz,46,exact_text,1.0,ab9b26bf-7a4e-4abb-ba2e-14a51e89cdb0,Ruff Endz,Ruff Endz,R&B
India.Arie,46,exact_text,1.0,38c7a3b2-17fb-4166-b964-4e445d69efdd,India.Arie,India.Arie,R&B
Stone Sour,46,exact_text,1.0,4ca783b7-5bf7-4348-b494-46680660050f,Stone Sour,Stone Sour,Rock
PSY,46,exact_text,1.0,f99b7d67-4e63-4678-aa66-4c6ac0f7d24a,PSY,PSY,Pop
Don Costa And His Orchestra And Chorus,45,exact_text,1.0,6ae4c1c0-e8d0-46d0-a231-d0cc5dcb5bec,Don Costa & His Orchestra & Chorus,Don Costa & His Orchestra & Chorus,"Jazz, Pop"
Walter Egan,45,exact_text,1.0,c0c71b1c-d524-44c1-bd20-04531270cc77,Walter Egan,Walter Egan,"Country, Pop"
