listener_artist,chart_appearances,match_type,match_score,mbid,artist_mb,matched_name
Harpers Bizarre,35,exact_text,1.0,3aaceb91-c95d-4c5e-9539-086c5cef2b8d,Harpers Bizarre,Harpers Bizarre
The Fantastic Johnny C,35,exact_text,1.0,6be2ae8a-7748-4a37-96f8-521543127bb9,The Fantastic Johnny C,The Fantastic Johnny C
Evie Sands,35,exact_text,1.0,269f77c0-c15d-4349-869b-8a0c77e068dc,Evie Sands,Evie Sands
Lamont Dozier,35,exact_text,1.0,b801e3ad-a23a-4ae8-9708-6c02a202e9e1,Lamont Dozier,Lamont Dozier
Ted Nugent,35,exact_text,1.0,e491fae8-3a5a-438e-8368-925753fb41a1,Ted Nugent,Ted Nugent
Starland Vocal Band,35,exact_text,1.0,2dd30f18-241e-44b3-8bb3-950380f22dfa,Starland Vocal Band,Starland Vocal Band
Sylvester,35,exact_text,1.0,4d3b710b-a5f0-4772-97db-f09e47fbc6d8,Sylvester,Sylvester
Rickie Lee Jones,35,exact_text,1.0,9cd9232e-7a3e-4eb9-8043-ee05c1e396ec,Rickie Lee Jones,Rickie Lee Jones
Tommy Tutone,35,exact_text,1.0,80038a3c-d174-4cd8-85d6-bd2599d078c5,Tommy Tutone,Tommy Tutone
Jennifer Holliday,35,exact_text,1.0,52a315e2-5bf1-49fe-b666-fca924c8a0d4,Jennifer Holliday,Jennifer Holliday
Rockwell,35,exact_text,1.0,b7d224b3-a31c-4616-b69f-b6fcabd5cfbd,Rockwell,Rockwell
Jane Wiedlin,35,exact_text,1.0,24575690-019f-4b77-9395-eaf6bcc3d5a7,Jane Wiedlin,Jane Wiedlin
Steelheart,35,exact_text,1.0,91bcf2c8-b847-4620-85a2-83108de217b0,Steelheart,Steelheart
Natural Selection,35,exact_text,1.0,491462a4-da38-4693-90dc-113bb9ebe668,Natural Selection,Natural Selection
Geto Boys,35,exact_text,1.0,a78ca453-3a53-4b19-8b2d-61b10dd45558,Geto Boys,Geto Boys
Zapp & Roger,35,exact_text,1.0,d5b38919-f3b3-4edc-bcd6-417a1139ae3f,Zapp & Roger,Zapp & Roger
Ini Kamoze,35,exact_text,1.0,ce29fa89-8aed-4f7b-8b3e-a34d0c9ed0c6,Ini Kamoze,Ini Kamoze
Oasis,35,exact_text,1.0,39ab1aed-75e0-4140-bd47-540276886b60,Oasis,Oasis
Sneaker Pimps,35,exact_text,1.0,696d8523-39a0-44e2-9add-afaa183a2f46,Sneaker Pimps,Sneaker Pimps
She Moves,35,exact_text,1.0,3f95fa28-047f-4715-b665-c4d509190e54,She Moves,She Moves
Default,35,exact_text,1.0,c571d0d0-c47f-4e51-8a13-a3ec81a6e296,Default,Default
Juelz Santana,35,exact_text,1.0,bea235a0-db63-44b1-881e-264d25791f5a,Juelz Santana,Juelz Santana
T-Pain Featuring Yung Joc,35,fuzzy,0.9091,ce55e49a-32f4-4757-9849-bf04d06d5fcc,T‐Pain,T‐Pain
OMI,35,exact_text,1.0,33e6ded6-22cc-447e-aefa-9a7a6ba81b6b,OMI,OMI
Ice Spice,35,exact_text,1.0,6f2c949d-9540-4421-bf02-27ae27e00e33,Ice Spice,Ice Spice
BossMan Dlow,35,exact_text,1.0,44fac0de-d5ae-4bea-a68c-948fedc3d9c5,BossMan Dlow,BossMan Dlow
The Paris Sisters,34,exact_text,1.0,38762f81-da52-4e98-ac76-167014651898,The Paris Sisters,The Paris Sisters
Gloria Lynne,34,exact_text,1.0,df515f34-7b17-4db7-ab37-757d9a111e0f,Gloria Lynne,Gloria Lynne
Ace Cannon,34,exact_text,1.0,701888ee-b15e-467d-83cb-bd81e89f34a6,Ace Cannon,Ace Cannon
The Spencer Davis Group,34,exact_text,1.0,178fdfdf-e02e-4608-9b51-e53471e28a58,The Spencer Davis Group,The Spencer Davis Group
The Ides Of March,34,exact_text,1.0,938009e4-262b-4498-9da0-484602113d22,The Ides of March,The Ides of March
Buffalo Springfield,34,exact_text,1.0,22dc19af-d085-4c9b-adfb-22ec256251f1,Buffalo Springfield,Buffalo Springfield
The Bar-Kays,34,fuzzy,0.9565,919ac2b3-aa04-4732-93f8-742ebb7a03f2,The Bar‐Kays,The Bar‐Kays
